,,Suaves colombianos (arábigo),,,Otros suaves (arábigo),,,Naturales del Brasil (arábigo),,,Robustas,,,
Mes,Precio del indicador compuesto OIC,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,
ene-00,"82,15","130,12","124,36","130,13","109,17","116,82","111,11","97,67","103,10","97,68","53,62","52,41","53,18",
feb-00,"76,15","124,72","118,67","124,73","101,17","110,19","103,44","91,51","96,58","91,51","49,41","47,97","48,85",
mar-00,"73,49","119,51","115,78","119,51","98,26","108,13","100,73","89,93","94,78","89,93","47,26","44,73","46,25",
abr-00,"69,53","112,67","109,12","112,67","92,41","101,51","94,61","86,46","90,70","86,46","45,21","43,31","44,45",
may-00,"69,22","110,31","107,85","110,31","91,76","100,99","94,17","87,23","91,01","87,23","45,19","43,01","44,32",
jun-00,"64,56","100,30","98,57","100,30","84,10","92,94","86,44","78,32","83,34","78,32","43,72","41,12","42,68",
jul-00,"64,09","101,67","99,42","101,67","85,20","93,36","87,35","79,89","84,76","79,89","41,93","39,19","40,82",
ago-00,"57,59","91,87","90,39","91,87","74,52","84,08","76,92","70,57","76,63","70,57","38,94","37,22","38,25",
sept-00,"57,31","89,97","88,28","89,98","73,83","81,61","75,78","71,14","75,24","71,14","39,47","37,86","38,83",
oct-00,"56,4","90,25","87,80","90,25","75,43","80,41","76,66","72,28","74,24","72,28","36,55","35,51","36,14",
nov-00,"52,18","84,01","81,30","84,01","70,47","74,63","71,54","68,95","69,00","68,95","33,34","31,94","32,81",
dic-00,"48,27","75,81","76,08","75,81","64,81","70,00","66,15","64,39","64,62","64,39","30,78","30,03","30,38",
ene-01,"49,19","75,33","73,16","75,33","64,98","68,93","65,98","62,38","62,72","62,38","32,97","31,59","32,40",
feb-01,"49,39","76,70","72,02","76,70","67,00","67,65","67,19","62,50","61,56","62,50","31,96","31,03","31,58",
mar-01,"48,52","76,94","72,45","76,94","65,88","68,35","66,50","60,35","61,49","60,35","30,96","29,87","30,52",
abr-01,"47,31","78,25","71,45","78,25","65,68","67,58","66,13","55,11","58,97","55,11","28,59","28,35","28,49",
may-01,"49,38","80,92","75,34","80,92","68,94","69,83","69,22","57,19","59,36","57,19","29,71","29,29","29,54",
jun-01,"46,54","74,38","70,23","74,38","63,79","64,08","63,90","51,86","53,08","51,86","29,33","28,89","29,17",
jul-01,"43,07","69,70","65,10","69,70","58,47","59,51","58,72","46,43","47,66","46,43","27,59","27,21","27,43",
ago-01,"42,77","73,50","64,88","73,50","59,68","59,83","59,72","46,49","46,85","46,49","25,86","25,74","25,82",
sept-01,"41,17","68,80","64,90","68,80","57,71","59,39","58,07","42,42","46,52","42,42","23,79","25,08","24,27",
oct-01,"42,16","63,85","62,48","62,87","56,53","56,31","56,40","37,67","42,43","38,63","21,25","23,89","23,24",
nov-01,"44,24","65,72","64,54","64,89","58,96","58,81","58,85","42,28","44,63","42,82","22,03","24,26","23,68",
dic-01,"43,36","62,37","62,28","62,33","55,63","57,40","56,72","41,60","43,71","42,21","23,57","24,63","24,35",
ene-02,"43,46","63,46","62,11","62,51","57,34","58,89","58,25","42,56","45,61","43,14","22,88","22,79","22,81",
feb-02,"44,30","65,64","61,37","62,67","60,51","58,16","59,12","42,79","44,77","43,17","24,46","24,34","24,36",
mar-02,"49,49","71,16","67,02","68,27","66,38","63,19","64,47","48,79","48,35","48,70","29,77","28,85","29,10",
abr-02,"50,19","70,17","69,50","69,63","65,78","65,13","65,29","49,90","48,76","49,52","30,35","28,98","29,31",
may-02,"47,30","63,44","66,99","65,95","58,45","63,38","61,40","45,19","45,90","45,39","29,43","27,92","28,32",
jun-02,"45,56","60,86","63,82","62,94","55,12","60,86","58,57","42,96","43,17","43,00","29,24","28,14","28,42",
jul-02,"44,68","59,75","61,02","60,60","53,21","58,82","56,61","43,73","42,01","43,30","29,39","28,47","28,63",
ago-02,"42,78","58,92","57,72","58,10","51,95","55,76","54,28","40,51","38,71","40,18","28,69","27,56","27,85",
sept-02,"48,14","62,49","64,91","64,15","57,58","63,12","60,90","44,46","45,24","44,53","33,31","31,85","32,21",
oct-02,"50,79","66,54","68,69","67,92","64,05","67,05","65,73","45,28","49,48","46,08","34,44","32,95","33,33",
nov-02,"54,69","72,83","69,81","70,70","70,15","69,67","69,87","48,37","51,67","49,25","39,38","37,62","37,93",
dic-02,"51,68","67,92","64,41","65,38","64,75","64,12","64,16","46,70","47,37","46,55","38,68","37,85","38,06",
ene-03,"53,99","69,68","66,21","67,27","65,22","65,70","65,57","49,14","49,68","49,31","42,75","40,65","41,17",
feb-03,"54,07","69,60","66,48","67,47","67,65","65,58","66,41","48,54","50,16","48,97","42,35","40,14","40,67",
mar-03,"49,61","61,82","62,30","62,15","61,66","61,80","61,75","42,99","46,90","43,77","38,36","36,78","37,17",
abr-03,"51,82","66,12","63,69","64,40","65,35","64,29","64,69","48,71","48,24","48,55","38,68","37,00","37,42",
may-03,"53,19","67,56","64,90","65,73","66,47","66,05","66,26","51,06","50,83","51,12","38,90","37,36","37,80",
jun-03,"48,91","65,01","60,14","61,61","61,34","60,86","61,02","47,11","45,98","46,88","35,32","33,83","34,21",
jul-03,"50,88","67,84","63,61","64,88","62,32","63,36","62,95","49,64","49,11","49,50","36,71","34,90","35,35",
ago-03,"52,22","68,65","64,33","65,65","63,60","64,05","63,89","52,88","50,59","52,48","37,92","35,77","36,30",
sept-03,"54,10","68,37","67,22","67,55","65,50","67,06","66,41","55,19","53,78","54,86","38,75","36,89","37,35",
oct-03,"51,72","66,59","65,79","66,17","62,58","65,87","64,30","53,51","52,52","52,81","37,32","35,53","35,88",
nov-03,"49,81","67,04","62,66","64,39","62,36","62,39","62,28","54,15","49,87","50,73","36,05","33,63","34,11",
dic-03,"52,44","69,38","64,71","66,68","65,01","64,61","64,86","56,92","54,24","54,79","37,59","35,47","35,90",
ene-04,"58,69","76,61","71,89","73,76","74,25","71,24","72,73","64,32","61,51","62,06","41,32","39,45","39,84",
feb-04,"59,87","79,34","74,58","76,53","77,51","74,81","76,21","66,08","65,37","65,52","39,10","36,54","37,05",
mar-04,"60,80","80,12","76,53","77,97","77,29","78,83","78,06","65,79","67,26","66,97","38,61","36,13","36,70",
